AX,AY,AZ,GX,GY,GZ
0.70327276,-0.36441517,-0.3910126,0.36896262,0.2784782,-0.42798746
0.59374624,-0.29266453,0.320677,0.3652974,0.2607631,-0.43409613
0.5731416,-0.49384975,-0.22085486,0.30482176,0.24549147,-0.4432591
0.42066318,-0.70704746,0.8093603,0.21013765,0.26198483,-0.4450917
0.3810051,-1.2054434,-0.52057236,0.16249016,0.29191723,-0.4414265
0.04794687,-1.8090434,0.5149282,0.07819075,0.3853796,-0.42676574
-0.15504837,-1.7584505,0.061194405,0.056199603,0.4385249,-0.41027236
-0.4643283,-1.7041388,1.6757323,0.057421334,0.46845728,-0.3730096
-0.37915862,-1.713665,0.977293,0.12034045,0.39332086,-0.32475123
-0.37767524,-1.7136135,0.98015034,0.18570304,0.34261903,-0.29420796
-0.16419497,-2.168417,0.025495604,0.44715336,0.22166772,-0.20441078
-0.16714549,-2.168315,0.039655685,0.5503896,0.21372648,-0.17447838
-0.16882044,-2.1679974,0.06624763,0.6621779,0.22166772,-0.14821118
-0.16923603,-2.167715,0.08494426,0.8772025,0.2943607,-0.10178542
-0.11895782,-1.6290197,0.63321644,1.0439687,0.41531202,-0.06757697
-0.12504561,-1.3865213,-0.4457977,1.1001683,0.46662468,-0.055970527
-0.14775397,-1.222991,-1.305614,0.7165449,0.30413455,-0.041309763
-0.49580708,-0.46098232,-0.13212898,0.7165449,0.30413455,-0.041309763
-0.73219883,-0.12273407,0.15480193,0.7165449,0.30413455,-0.041309763
-0.9029475,-0.09830952,-0.66552967,0.7165449,0.30413455,-0.041309763
-1.0170741,0.65398216,0.14231993,0.4343252,0.27542385,-0.060246583
-0.8954697,1.1502705,0.17723173,0.29749137,0.28214338,-0.076739945
-0.6509724,1.1126957,0.5703122,0.054367006,0.31940615,-0.105450615
-0.061754152,0.5094948,-2.0343843,-0.040317107,0.34811684,-0.12072224
0.049120888,1.5510616,0.7076843,-0.16187929,0.40431643,-0.14637859
0.47508332,1.9390011,0.17299682,-0.19120082,0.40248385,-0.16103935
0.8849007,1.225687,-0.8102435,-0.16982053,0.37255144,-0.16470455
1.1608493,1.5801525,-0.50706285,-0.07391469,0.28458685,-0.16226108
1.1107296,1.309165,0.08566895,-0.010995574,0.22594379,-0.16103935
1.1075293,1.3087215,0.07575524,0.15027285,0.102549,-0.15248723
0.9246413,1.1909361,-0.24700463,0.30482176,0.04757113,-0.1512655
