AX,AY,AZ,GX,GY,GZ
-1.0158182,-0.005252838,2.5834305,0.0735329,0.003894266,-0.030008756
-0.15531668,-1.361423,1.7350371,0.06620252,0.004505131,-0.045280386
-0.1579821,-1.3609986,1.7340312,0.035659257,-0.001603521,-0.050167307
-0.16215661,-1.3503585,1.7078581,0.024663685,0.00206167,-0.050778173
-0.16215661,-1.3503585,1.7078581,-0.004657847,0.005115997,-0.047112983
0.09087007,-1.05196,1.5216985,-0.027259862,8.40E-04,-0.04222606
1.0726923,-0.86399746,2.846435,-0.03153592,-0.005879578,-0.040393464
1.3211235,0.33323574,1.3960135,-0.004657847,-0.005879578,-0.027565295
1.3140973,0.34592438,1.3662205,0.057039544,0.004505131,-0.020845776
1.1187159,-0.50687695,1.456032,0.080252424,0.005726862,-0.015347989
-0.34997445,-0.71903324,1.7424164,0.09369145,-9.93E-04,-0.015958855
0.28246248,-1.333744,2.864648,0.091248,0.001450805,-0.020845776
0.2839787,-1.3344164,2.8661416,0.05337435,0.003283401,-0.04100433
0.123060286,-0.4596777,2.386562,0.023441954,-0.004657847,-0.050778173
-0.4573444,-0.1988306,1.7518296,0.016722437,-0.009544769,-0.04772385
-0.46132836,-0.18669605,1.7248554,0.061926465,0.01366811,-0.007406741
0.0059852,0.19897652,1.0181017,0.061926465,0.01366811,-0.007406741
1.3160949,-0.2665367,1.6499529,0.061926465,0.01366811,-0.007406741
-0.017054439,0.09309006,1.3759995,0.061926465,0.01366811,-0.007406741
-0.011317074,0.09268665,1.3766918,0.06925685,0.024663685,-6.87E-04
2.410403,-0.2758007,2.5110989,0.059483003,0.025274549,0.002367103
-0.00922142,-0.4154997,1.8401546,0.036270123,0.008170323,0.003588833
0.51111096,0.15318203,2.6972218,0.022220224,-0.010155635,-0.001908954
0.51194155,0.15275288,2.6981454,0.014278975,-0.019929478,-0.012293663
0.5114203,0.15179634,2.7003117,0.025274549,-0.002214387,-0.01779145
0.5138145,-1.5313277,2.7865028,0.024663685,0.004505131,-0.018402316
