AX,AY,AZ,GX,GY,GZ
1.6542572,-0.5833254,-0.37335342,8.40E-04,-9.93E-04,0.09521862
1.7692496,-0.30788803,-0.8096698,-0.049861874,-0.077961676,0.1043816
0.8872379,-0.36288548,-1.6914293,-0.049861874,-0.077961676,0.1043816
0.8965511,-0.36288357,-1.6775556,-0.06757697,-0.088346384,0.106214195
0.91540515,-0.36306572,-1.6786616,-0.06757697,-0.088346384,0.106214195
0.91540515,-0.36306572,-1.6786616,-0.0846812,-0.09017898,0.10804679
-0.70816964,-0.88752365,-1.2962304,-0.099952824,-0.09323331,0.11110111
-1.4287748,-1.0888014,-1.0728543,-0.12377657,-0.08590292,0.11415544
-2.0437756,-0.4090271,0.61948746,-0.12805262,-0.054137934,0.11720977
-2.3438442,-1.2494488,0.39777476,-0.13110696,-0.041309763,0.1202641
-2.2786627,-1.1177692,1.0723598,-0.1249983,-0.020540344,0.12270755
-1.949486,-1.0985737,1.6092782,-0.10667235,-0.025427265,0.13003793
-1.4278575,-1.5798321,0.6265502,-0.092622444,-0.03397938,0.13614659
-0.97806823,-1.2829504,0.8590765,-0.07124216,-0.059024855,0.14164437
-0.49317485,-1.5630255,-0.41239715,-0.060246583,-0.07612908,0.14408784
-0.5074863,-1.5628767,-0.38096565,-0.04314236,-0.10483975,0.15141822
0.04084873,0.43178368,0.34388593,-0.04008803,-0.12683089,0.156916
0.032805122,0.43209076,0.36912385,-0.03642284,-0.12927435,0.15752688
0.16467237,1.4427271,0.40659517,-0.03397938,-0.11461359,0.16180293
0.022875555,1.02176,-0.56926644,-0.035811976,-0.08712465,0.16119206
0.026707388,1.0219288,-0.55744624,-0.0388663,-0.076739945,0.16302466
-0.23172641,1.3475332,-0.3781389,-0.016264288,-0.08407033,0.16302466
-0.32093087,0.67720604,-0.954066,-0.016264288,-0.08407033,0.16302466
-0.048243515,1.1391201,0.7107535,-0.016264288,-0.08407033,0.16302466
-0.054796882,1.1388149,0.68748605,-0.0107665,-0.09445504,0.16180293
-0.06375468,1.1387863,0.6789596,-0.0107665,-0.09445504,0.16180293
-0.06375468,1.1387863,0.6789596,0.003894266,-0.111559264,0.16180293
0.115284085,0.04697895,0.27787584,0.019165898,-0.12805262,0.156916
0.10621289,0.046819687,0.25542203,0.025274549,-0.13660474,0.15630515
0.27995384,-0.30504894,0.09080197,0.037491854,-0.14026994,0.15325081
0.34651187,-0.15647984,0.7771797,0.044211373,-0.13355042,0.1483639
0.56173223,0.69825745,1.2589977,0.041157044,-0.13232869,0.14592044
0.5991206,-0.25681782,-0.18896598,0.028328875,-0.1390482,0.1428661
0.72748923,0.67244625,0.4428753,0.019165898,-0.14454599,0.14164437
0.68895495,1.1011257,0.9085025,0.005115997,-0.15248723,0.14347698
0.68666714,1.1012716,0.91789055,-0.015653422,-0.15920675,0.14347698
0.39629534,0.70164967,-0.33492988,-0.025427265,-0.16103935,0.14042264
0.39783818,0.701663,-0.33269408,-0.04680755,-0.16348282,0.14592044
0.23562457,0.68484116,0.03479015,-0.06085745,-0.1567633,0.1483639
0.13250789,0.29208755,0.41753685,-0.07307476,-0.14637859,0.14775303
0.13113077,0.29187584,0.39963,-0.076739945,-0.14026994,0.1483639
0.12818798,0.2916851,0.37859717,-0.030925052,-0.10789407,0.134314
0.3693974,-0.9797087,-0.32578444,-0.02359467,-0.1091158,0.13370313
0.65690935,-0.8719568,0.70259124,-0.013820826,-0.108504936,0.13003793
0.26713586,-1.0347824,0.8685966,-0.013820826,-0.108504936,0.13003793
0.26868075,-1.034852,0.85933894,-0.013820826,-0.108504936,0.13003793
0.27604717,-1.034997,0.85684365,-0.006490443,-0.10728321,0.123929285
0.27604717,-1.034997,0.85684365,-0.002214387,-0.10972667,0.11965323
-0.53245914,-1.525981,-0.39444646,0.004505131,-0.108504936,0.11476631
-0.8884113,-0.755167,0.5423773,0.008170323,-0.10483975,0.10315987
-1.2515379,-1.1047907,-0.22496787,-0.001603521,-0.108504936,0.09582949
-1.2453418,-1.1048298,-0.21983284,-0.019929478,-0.105450615,0.08361218
-1.4205166,-0.29564095,0.39272508,-0.044364087,-0.09506591,0.067118816
-1.4461657,-1.0330629,-0.6961334,-0.057803124,-0.088346384,0.0603993
-1.2840021,-0.66196156,-0.45072597,-0.08040514,-0.06391177,0.04268421
-1.2881709,-0.66193295,-0.45493862,-0.096898496,-0.03520111,0.021303926
-0.8060054,-1.0257988,-0.63481826,-0.10300715,-0.019318614,0.010919216
-0.8136767,-1.0257559,-0.64657354,-0.104228884,0.008170323,-0.012293663
-0.8192481,-1.0257301,-0.65827394,-0.099952824,0.011835515,-0.02939789
-1.1441399,-2.3042402,-1.5569916,-0.09201158,0.007559457,-0.0397826
-1.7702417,-1.6051884,-0.1411521,-0.07429648,-3.82E-04,-0.056886826
-3.3191133,-1.8470268,1.334173,-0.057803124,-0.009544769,-0.07399105
-3.3135452,-1.8468914,1.2932775,-0.051083606,-0.013820826,-0.082543164
-3.307488,-1.8464746,1.243357,-0.037644573,-0.015042556,-0.09903653
-3.144599,-1.8053851,0.13867314,-0.04008803,-0.011377365,-0.105756044
-1.8975363,-0.35668755,4.02293,-0.038255434,0.021609358,-0.11919508
-1.9374613,-0.35612106,4.0348806,-0.044974953,0.057650406,-0.13446671
-1.9860961,-0.3551216,4.043479,-0.052305337,0.07658723,-0.13935363
-0.3125491,-2.0933118,-1.2357354,-0.07185303,0.09674578,-0.14546229
0.86661005,-0.9549532,-0.3001146,-0.093844175,0.10285444,-0.15340354
1.8589249,2.1659975,1.7715368,-0.10483975,0.10285444,-0.155847
2.0207844,2.352025,2.4713428,-0.12622003,0.09796751,-0.15706873
2.0087974,0.2846365,-2.0077314,-0.12988523,0.09369145,-0.15829046
1.9983629,0.28541756,-1.9605623,-0.13660474,0.088804536,-0.15890132
