AX,AY,AZ,GX,GY,GZ
-0.0514701,0.39175034,-1.752589,-0.11950051,0.0332158,0.06834055
-0.04289633,0.39173794,-1.7253754,-0.12560916,0.008170323,0.061621033
-0.39035335,-0.14684296,-1.4600644,-0.14210252,-0.035811976,0.04512767
-0.25524727,0.55003834,-0.22385669,-0.17325665,-0.054137934,0.02985604
-0.41858053,0.58850765,-0.1551023,-0.19280434,-0.05047274,0.018860465
-0.41596127,0.5886297,-0.15506256,-0.22395848,-0.026648996,0.012751812
-0.41202074,0.58885956,-0.1562696,-0.24839307,-3.82E-04,0.016417004
-0.61073947,0.02143383,-0.44357377,-0.25938866,0.018555032,0.023747386
-0.39786303,0.59601784,-0.894837,-0.2691625,0.021609358,0.026801713
-0.3885963,0.4980278,-0.4771803,-0.27893636,0.011224649,0.028023442
-0.5895239,-0.040429115,-0.80020875,-0.2813798,2.29E-04,0.035353824
-0.3474965,0.59908295,0.08927871,-0.29787317,-0.027259862,0.044516806
-0.47272652,-0.06371212,-0.7686025,-0.31009048,-0.040698897,0.046960264
-0.23106182,0.8872423,-0.5616852,-0.2496148,-0.07918341,0.07261661
-0.5957371,-0.16811562,0.059079967,-0.2496148,-0.07918341,0.07261661
-0.3684405,0.77573395,-0.46923253,-0.22640193,-0.0669661,0.06834055
-0.29229277,0.7164097,0.038694765,-0.22640193,-0.0669661,0.06834055
-0.20945406,0.4652815,-1.2200065,-0.20685424,-0.047418416,0.06467536
-0.11573267,0.42702007,0.15100247,-0.19097175,-0.029703323,0.061621033
-0.11451191,0.42710304,0.15614918,-0.16165021,0.006337727,0.07383834
0.50433075,0.6736841,-0.9461387,-0.14821118,0.007559457,0.08788824
0.30965576,-0.6432228,-0.28012627,-0.14637859,-0.002214387,0.086055644
0.3031167,-0.6435213,-0.269139,-0.15065464,-0.022372939,0.0762818
0.29992697,-0.64360046,-0.25623217,-0.15737416,-0.033368513,0.067118816
0.53800917,-0.56219196,-2.1525586,-0.18058704,-0.044364087,0.049403727
0.5356658,-0.56222725,-2.1448123,-0.20746511,-0.05352707,0.044516806
0.5360104,-0.56232166,-2.1548295,-0.22151501,-0.057803124,0.046960264
0.5291911,-0.5627985,-2.1619916,-0.23861924,-0.05535966,0.046960264
0.9481764,0.59120655,0.22023907,-0.24167356,-0.0388663,0.0463494
1.4276793,0.76830673,-0.103558,-0.24656048,-0.037644573,0.04879286
1.9616088,0.6694288,-1.2446225,-0.22884539,-0.032757647,0.05062546
2.1373906,0.9644499,1.1231395,-0.21357377,-0.033368513,0.051847186
2.1408129,0.9645214,1.113876,-0.19952387,-0.033368513,0.051236324
1.5488237,1.2262735,0.46500295,-0.12255484,-0.01198823,0.053679783
0.6367557,0.03280449,-0.4104671,-0.12927435,-0.010155635,0.05917757
0.32744884,1.1282177,0.36337388,-0.12927435,-0.010155635,0.05917757
